Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_TD_att,B_avg_HEAD_landed,B_avg_BODY_landed,B_avg_LEG_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_TD_att,R_avg_HEAD_landed,R_avg_BODY_landed,R_avg_LEG_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Red,Heavyweight,0.912841797,0.000976563,0.205200195,13.94604492,4.469238281,0.143676758,29.92333984,0,2,8,6,0,195.58,37,-3,0,0.09375,0,1.46875,38.4375,14.78125,8.734375,48.5625,0,4,2,2,0,203.2,32,4,3
Red,LightHeavyweight,0.03125,0,1.375,15.3046875,3.4453125,1.3046875,30.5078125,0,2,4,3,0,190.5,26,-1,1,0.4375,0,1.125,15.625,5.5,2.0625,152.25,0,4,1,3,0,190.5,28,-1,1
Blue,Heavyweight,0.09375,0,0.0625,18.5625,5.09375,10.09375,60.90625,0,3,3,2,0,190.5,27,3,1,0.00787735,0.266309023,1.003968954,13.21084094,11.32221484,9.832671642,37.29219007,0,4,10,5,6,213.36,32,-1,2
Red,Middleweight,0.876953125,0,0.0234375,16.81640625,1.912109375,5.73828125,20.546875,0,3,4,5,0,195.58,36,-1,1,0.550964355,0,6.635314941,33.57965088,8.924743652,23.93041992,87.22583008,3,9,3,5,0,185.42,29,2,7
Red,Lightweight,0.4375,0,0.015625,62.359375,7.5,21.703125,8.9375,1,4,2,5,0,177.8,31,1,0,0.001464844,1.410644531,8.872070313,47.02783203,5.749023438,2.732910156,597.5966797,3,12,0,2,4,177.8,32,12,6
Blue,CatchWeight,0,0.3125,0.8125,36.875,24.8125,11.125,46.6875,0,2,1,0,1,172.72,29,2,3,0.0625,0.375,2.3125,40.5,10.1875,35.9375,80.25,0,3,1,0,3,175.26,27,3,1
Blue,WomenFlyweight,0.06262207,0.002578735,2.583847046,23.72491455,16.83158875,10.62452698,44.93418884,3,4,6,3,2,157.48,29,-1,6,0.001953125,2.0078125,1.802734375,39.171875,11.09960938,8.80078125,319.6660156,1,3,3,0,0,172.72,31,1,7
Blue,Featherweight,1.625,0,1.5,38.1875,20.625,8.5625,91.75,0,2,2,2,0,177.8,26,-1,1,0.171875,0,0,20.4296875,5.3125,12.3125,6.9453125,0,4,3,4,0,177.8,29,4,1
Red,WomenFlyweight,0.125,0,1.125,16.125,9.75,8.625,214.25,0,2,1,1,0,170.18,31,2,2,0,0.59375,3.296875,13.40625,1.78125,2.890625,429.265625,0,2,2,1,4,160.02,25,2,0
Blue,Welterweight,0.75,2.164550781,3.463867188,40.13769531,8.027832031,13.55419922,208.9326172,0,6,4,3,2,185.42,34,1,3,0,1.6875,3.625,18.9375,4.5625,3.875,195.375,0,5,0,0,3,180.34,38,5,2
Red,Featherweight,0.8203125,0.0546875,0.765625,43.171875,1.453125,1.15625,20.4140625,1,3,2,4,2,182.88,33,3,0,0.2890625,0.3671875,5.7890625,55.53125,11.2265625,4.2890625,79.4609375,1,6,2,3,3,175.26,29,-1,0
Blue,Bantamweight,0.09375,0.125,0.90625,18.8125,7.34375,10.46875,74.875,0,5,1,2,1,177.8,28,5,2,0.25,0.140625,1.5625,34.875,5.734375,6.4375,21.296875,1,4,2,2,1,170.18,32,-1,2
Blue,Heavyweight,0.000976563,0.015625,5.776367188,19.46386719,5.333984375,3.662109375,431.8691406,0,3,5,2,0,198.12,34,-1,4,0.256347656,0.023681641,1.879272461,40.7208252,12.57861328,5.51953125,261.3093262,0,4,6,4,2,198.12,38,-1,2
Red,Featherweight,0.0078125,0.984375,6.3046875,9.0703125,1.0078125,0.3125,132.1796875,0,3,2,1,3,182.88,31,3,2,0.570402145,1.53E-05,0.851579189,33.12458515,20.87707162,13.16657782,91.78734851,0,4,9,7,0,190.5,34,4,7
Red,Welterweight,0.375,0.01965332,6.872344971,49.10369873,12.27511597,21.35525513,128.9945984,1,3,8,0,2,190.5,35,3,6,0.020874023,0.766052246,0.304992676,8.015594482,4.559631348,4.978668213,60.41546631,3,5,9,4,0,190.5,36,-1,2
Red,WomenBantamweight,0,0.3125,4.09375,20.875,12.59375,1.59375,306.1875,1,4,1,2,0,175.26,31,4,3,0.28125,0.5,0.0625,14.8828125,10.46875,7.3125,63.3203125,2,5,2,3,0,180.34,36,1,3
Red,WomenBantamweight,0.5,0.0625,0.0703125,38.8515625,11.296875,12.1015625,3.328125,0,3,3,1,1,172.72,32,-2,3,0.033203125,0.125,2.643554688,13.17382813,7.28125,8.737304688,319.5537109,5,3,5,2,0,175.26,38,3,4
Red,WomenBantamweight,0.03125,1.5,5.1875,54.21875,9.6875,2.40625,417.125,0,2,2,0,0,170.18,35,2,4,0,0.5,1.3125,23.6875,2.8125,1.125,212.25,0,4,1,0,1,172.72,29,4,3
Red,Middleweight,0.9375,0,0.0625,49,35.4375,3.5,6.375,0,5,0,4,0,182.88,29,5,1,1.1015625,0.265625,0.0390625,25.9375,9.171875,19.6953125,8.234375,3,8,0,3,0,203.2,31,8,5
Blue,Welterweight,0.5625,0.223144531,4.522705078,25.60058594,6.529052734,5.496826172,290.5378418,0,3,4,0,4,185.42,26,2,4,0.000123531,0.000797342,4.373028582,10.61177086,7.614044276,6.876116514,147.0400326,2,6,12,6,0,182.88,38,6,12
Blue,LightHeavyweight,0.650390625,0.035400391,0.237915039,18.86181641,5.440917969,7.485473633,16.6348877,0,4,5,3,2,198.12,37,1,4,0.359375,0.015625,0.421875,27.828125,27.53125,17.09375,9.703125,1,6,1,3,1,195.58,30,6,2
Red,Featherweight,1.25,0,3.25,23.78125,2.75,0.25,26.4375,0,3,2,2,0,172.72,29,3,2,0.25,0,0.0625,26.1875,24.125,14.9375,132.375,0,4,1,1,0,185.42,29,-1,3
Red,LightHeavyweight,0.125,1,4,30.125,6.875,0.125,151.5,0,4,0,1,1,200.66,29,4,2,0.25,0,0,17.8125,1.0625,1.4375,78.25,0,3,2,3,0,208.28,28,3,0
