"Winner","B_avg_SUB_ATT","B_avg_TD_att","B_avg_HEAD_landed","B_avg_BODY_landed","B_avg_LEG_landed","B_avg_GROUND_landed","B_avg_CTRL_time.seconds.","B_age","R_avg_SUB_ATT","R_avg_TD_att","R_avg_HEAD_landed","R_avg_BODY_landed","R_avg_LEG_landed","R_avg_GROUND_landed","R_avg_CTRL_time.seconds.","R_age"
"Red",0.040039063,2.841308594,59.20922852,7.743408203,27.94934082,5.991699219,192.9150391,30,0.781836987,2.531491995,58.31850505,7.666655302,5.884504795,0.695234537,70.05106902,31
"Blue",0.250976563,3.036132813,34.46777344,20.64160156,15.89648438,7.78125,204.9033203,33,0.004185304,1.039947718,17.04767522,4.057201527,4.927732199,2.213919684,90.5810672,38
"Red",0,0.0625,33.375,4.625,5.875,1.5,9.5625,35,0.5625,7.53125,40.58984375,7.818359375,4.390625,6.0078125,220.7148438,31
"Red",0,0.9375,54.875,23.5625,14.46875,6,51.125,31,0,6.20703125,19.27441406,2.240234375,4.288085938,8.912109375,215.8779297,29
"Red",0.125,0.046875,60.046875,27.4375,11.734375,26.109375,108.734375,29,0.0078125,0.9375,16.4375,4.8203125,4.453125,8.8515625,24.65625,35
"Blue",0.15625,2.0625,61.296875,8.375,4.96875,2.65625,91.234375,26,0.5625,1.71875,20.46875,5.03125,14.28125,9.3125,141.4375,29
"Red",0,0.375,17.625,10.625,2.5,3.375,50.625,31,0.328125,2,11.9375,2.8125,7.890625,1.03125,32.046875,33
"Red",0.2734375,3.1640625,16.0078125,3.4296875,4.953125,2.421875,60.390625,33,0,8.96875,30.03125,10.34375,4.5625,10.28125,256.09375,30
"Blue",0,0.78515625,18.98046875,1.98046875,1.51953125,0.84375,5.546875,28,0.001464844,3.336425781,15.71380615,11.27832031,8.519104004,3.660217285,100.142395,37
"Red",0.25,1.8125,37.625,13.6875,20.9375,7.1875,149.75,28,0.256103516,7.029052734,76.88623047,31.64477539,15.58813477,3.623535156,77.22924805,30
